"Destination_mun","Total","Walk","Bike","Car","PTransit","Other","Active"
"Moita",1896,0,0,501,692,703,0
"Montijo",1871,0,44,1769,49,7,44
"Odivelas",89,0,0,63,18,7,0
"Oeiras",773,0,0,737,37,0,0
"Palmela",20846,531,25,16783,3144,365,556
"Seixal",2619,0,0,2352,186,81,0
"Sesimbra",4824,202,43,4447,120,12,245
"Setúbal",192242,60804,303,123742,6713,678,61107
"Sintra",80,0,0,48,32,0,0
"Vila Franca de Xira",250,0,0,41,24,185,0
"Alcochete",349,0,0,276,49,24,0
"Almada",1069,0,0,673,396,0,0
"Amadora",31579,3061,22,21913,6217,362,3083
"Barreiro",999,0,0,984,15,0,0
"Cascais",20909,32,12,18784,1957,126,44
"Lisboa",63751,312,32,40166,22774,469,344
"Loures",7569,0,0,6260,964,345,0
"Mafra",4693,0,4,4482,173,35,4
"Moita",596,0,0,481,115,0,0
"Montijo",12,0,0,0,12,0,0
"Odivelas",9883,496,0,7497,1802,85,496
"Oeiras",24142,570,0,19672,3875,28,570
"Palmela",411,0,0,388,20,3,0
"Seixal",675,0,0,651,25,0,0
"Sesimbra",191,0,0,191,0,0,0
"Setúbal",351,0,0,52,300,0,0
"Sintra",391270,127643,1341,238057,23595,630,128984
"Vila Franca de Xira",1535,0,0,835,377,322,0
"Alcochete",96,0,0,96,0,0,0
"Almada",1058,0,0,981,67,10,0
"Amadora",1064,270,0,719,41,34,270
"Barreiro",124,0,0,38,86,0,0
"Cascais",949,0,0,949,0,0,0
"Lisboa",26739,0,11,16830,9485,411,11
"Loures",13739,690,0,11011,1270,770,690
"Mafra",322,0,0,311,11,0,0
"Moita",453,0,0,449,4,0,0
"Montijo",425,0,0,425,0,0,0
"Odivelas",1755,0,0,1250,505,0,0
"Oeiras",975,0,0,748,226,0,0
"Palmela",132,0,0,125,0,7,0
"Seixal",1459,0,0,1042,417,0,0
"Sesimbra",93,0,0,93,0,0,0
"Setúbal",490,0,0,129,176,185,0
"Sintra",1355,0,0,627,384,344,0
"Vila Franca de Xira",161520,70582,269,82860,7719,88,70851
